City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
338345,Edd,ER,13.9297,41.6925,77.22,68,8,15.9
323828,Anamur,TR,36.0751,32.8369,56.21,50,4,6.29
1052373,Beira,MZ,-19.8436,34.8389,80.1,78,100,20.0
3936456,Lima,PE,-12.0432,-77.0282,70.9,81,20,14.97
1715015,Dicabisagan,PH,17.0818,122.4157,74.88,87,99,12.77
2208332,Opotiki,NZ,-38.0833,177.2833,72.39,63,14,7.14
2231504,Foumbot,CM,5.5079,10.6356,62.6,64,86,3.89
3604395,Nueva Armenia,HN,15.7956,-86.4985,75.38,92,28,4.5
1860871,Kadoma,JP,34.7333,135.5833,48.97,81,75,24.16
2374583,Bubaque,GW,11.2833,-15.8333,81.25,65,99,6.8
2181625,Te Anau,NZ,-45.4167,167.7167,64.85,73,99,2.8
5021632,Cloquet,US,46.7216,-92.4594,-4.22,82,100,3.51
5503914,Fallon,US,39.4735,-118.7774,37.69,75,75,9.22
2094342,Kavieng,PG,-2.5744,150.7967,84.13,69,99,7.74
3533462,Acapulco de Juárez,MX,16.8634,-99.8901,77.38,70,0,5.73
3443061,Chui,UY,-33.6971,-53.4616,64.4,88,11,9.28
1510689,Baykit,RU,61.67,96.37,7.84,97,100,2.73
1815456,Changzhou,CN,31.7833,119.9667,38.52,24,10,18.92
1737714,Limbang,MY,4.75,115.0,84.06,66,66,4.7
1259385,Port Blair,IN,11.6667,92.75,84.24,74,40,8.05
5861897,Fairbanks,US,64.8378,-147.7164,-39.3,70,0,0.0
726629,Sungurlare,BG,42.7667,26.7833,37.56,71,0,1.99
537158,Laishevo,RU,55.4046,49.5504,21.42,92,100,14.47
1067565,Beloha,MG,-25.1667,45.05,69.67,84,71,12.06
3694112,Paita,PE,-5.0892,-81.1144,69.96,84,33,9.13
4163318,Mango,US,27.9797,-82.3065,60.91,88,100,5.01
4903818,North Aurora,US,41.8061,-88.3273,29.62,83,100,5.99
3836277,Santa Fe,AR,-31.6333,-60.7,78.82,60,0,3.0
1337613,Kulhudhuffushi,MV,6.6221,73.07,80.82,73,91,4.99
4179667,Americus,US,32.0724,-84.2327,44.73,100,100,8.05
3385670,Urucará,BR,-2.5364,-57.76,73.0,96,100,1.95
1161724,Chabahar,IR,25.2919,60.643,66.42,23,1,7.61
5563839,Fortuna,US,40.5982,-124.1573,50.99,96,100,0.0
2018735,Nyurba,RU,63.2842,118.3319,-28.43,99,31,3.04
3685823,Corozal,CO,9.3151,-75.2928,73.45,89,4,5.23
5888001,Atikokan,CA,48.7555,-91.6216,-4.43,98,100,2.53
3576994,Cockburn Town,TC,21.4612,-71.1419,78.51,69,0,13.91
2137748,Voh,NC,-20.9667,164.7,81.79,74,33,6.67
2447513,Arlit,NE,18.7369,7.3853,59.29,39,56,12.97
629055,Disna,BY,55.568,28.1971,33.73,100,100,6.78
6144054,Selkirk,CA,50.1436,-96.8845,-7.24,85,100,6.24
503772,Puteyets,RU,65.1716,57.091,-1.46,96,100,13.65
468902,Yaroslavl,RU,57.6299,39.8737,30.0,100,100,6.71
352733,Marsá Maţrūḩ,EG,31.3525,27.2453,59.2,63,40,5.75
601551,Akdepe,TM,42.0551,59.3788,10.49,73,17,7.72
2766155,Schärding,AT,48.4529,13.4372,33.21,98,98,2.26
1623197,Tual,ID,-5.6667,132.75,84.22,75,100,12.84
3385883,Uauá,BR,-9.8414,-39.4817,76.68,49,67,8.46
2472431,Ben Gardane,TN,33.1378,11.2197,54.37,72,2,7.87
3351663,Benguela,AO,-12.5763,13.4055,72.23,80,96,1.74
5380437,Pacific Grove,US,36.6177,-121.9166,51.85,78,71,1.01
1847947,Shingū,JP,33.7333,135.9833,49.73,72,22,17.31
1791779,Wanning,CN,18.8003,110.3967,70.34,51,57,11.86
49747,Oddur,SO,4.1213,43.8894,71.08,78,54,16.87
1045114,Inhambane,MZ,-23.865,35.3833,75.9,64,11,15.7
2068110,Kununurra,AU,-15.7667,128.7333,80.58,89,100,10.36
